順位,ダウンロード数,自治体名,データセット・タイトル,リソース名,データセット名,リソースid
392,32,和歌山県,【和歌山県】国勢調査　時系列データ,４表　年齢（4区分）別人口、割合、指数（昭和25年~平成27年）,300004_020300_kokuseichosa,87c9abca-3bcf-470d-b335-5f747faea617
393,32,和歌山県,【和歌山県】国勢調査　時系列データ,９表　産業3部門別15歳以上就業者数の推移 総数、男女（昭和25年~平成27年）,300004_020300_kokuseichosa,65fe3178-b0a2-478f-9d71-11f91229d991
394,32,和歌山県,【和歌山県】平成30年度県民経済計算,主-1　経済活動別県内総生産（名目）（実数）,300004_020300_kenminkeizai,a1191079-b580-4484-ab21-7cafb42f72e1
395,32,和歌山県,【和歌山県】平成30年度県民経済計算,主-1　経済活動別県内総生産（名目）（増加寄与度）,300004_020300_kenminkeizai,0716b621-a6b5-4797-9394-faadc430bfbf
396,32,和歌山県,【和歌山県】平成30年度県民経済計算,主-3　県内総生産（支出側、名目）（増加寄与度）,300004_020300_kenminkeizai,5a17ee27-3c45-4c0e-a375-c9a6b1f9b4f7
397,32,和歌山県,【和歌山県】平成30年度県民経済計算,主-3　県内総生産（支出側、実質：連鎖方式）（実数）,300004_020300_kenminkeizai,3a6a121d-de35-4df6-990a-69152db9c6f5
398,32,和歌山県,【和歌山県】平成30年度県民経済計算,付-1　経済活動別県内総生産及び要素所得（平成18年度）,300004_020300_kenminkeizai,11abc507-2a51-47ce-97f8-10d931fbab49
399,32,和歌山県,【和歌山県】平成30年度県民経済計算,付-1　経済活動別県内総生産及び要素所得（平成29年度）,300004_020300_kenminkeizai,9f832f8b-1400-4265-a15c-486f071db608
400,32,和歌山県,【和歌山県】平成30年度県民経済計算,付-4　経済活動別就業者数（県内ベース）,300004_020300_kenminkeizai,decfc5a6-6438-405c-a5bb-cea41a8f88dd
401,32,和歌山県,【和歌山県】市町村民経済計算,利用上の注意,300004_020300_shichosonminkeizai,82f0f665-3f97-44d9-b82c-bd8710fea13b
402,32,和歌山県,【和歌山県】平成27年産業連関表（13部門）,（13部門）生産者価格評価表,300004_020300_sangyorenkanhyo,bf5d0238-5d40-432d-b267-537e5e023a78
403,32,和歌山県,【和歌山県】平成27年産業連関表（13部門）,（13部門）逆行列係数表I-(I-M),300004_020300_sangyorenkanhyo,20e6bf48-4e63-4e79-9e2b-9a40c94a0954
404,32,和歌山県,【和歌山県】平成27年産業連関表（13部門）,（13部門）逆行列係数表(I-A),300004_020300_sangyorenkanhyo,692c0565-e0ab-4aa9-9473-e984ca61c58e
405,32,和歌山県,【和歌山県】平成27年産業連関表（13部門）,（13部門）最終需要項目別生産誘発額,300004_020300_sangyorenkanhyo,8e65f482-9e84-4e18-af04-e5e41e3222e6
406,32,和歌山県,【和歌山県】平成27年産業連関表（13部門）,（13部門）最終需要項目別生産誘発係数,300004_020300_sangyorenkanhyo,4f8ad0f8-6ecc-4026-a840-b91334b0c4f0
407,32,和歌山県,【和歌山県】平成27年産業連関表（13部門）,（13部門）最終需要項目別粗付加価値誘発係数,300004_020300_sangyorenkanhyo,bebc2ba4-21ac-41f9-a39a-b17c63d28f7f
408,32,和歌山県,【和歌山県】平成27年産業連関表（13部門）,（13部門）最終需要項目別移輸入誘発係数,300004_020300_sangyorenkanhyo,b002269e-c00a-49b4-b609-ad472b52244f
409,32,和歌山県,【和歌山県】鉱工業生産指数,業種分類別 鉱工業生産指数 時系列データ（平成25年～令和2年） 原指数,300004_020300_kokogyo,7d3c7bad-ff99-436d-a797-5138ba9563a2
410,32,和歌山県,【和歌山県】鉱工業生産指数,平成27年基準採用品目一覧,300004_020300_kokogyo,bc1def65-2fd2-47e1-a8ea-1c901c53a438
411,32,和歌山県,【和歌山県】鉱工業生産指数,平成27年基準採用品目一覧,300004_020300_kokogyo,3a3e450b-b3c4-46a6-bf4d-656a702be805
412,32,和歌山県,【和歌山県】令和２年度版 市町村税政の概況,令和元年度徴収実績の状況,300004_010600_zeiseinogaikyou,cb1244a3-855c-4caf-9e1e-8a6dba967ef7
413,32,和歌山県,【和歌山県】令和２年度版 市町村税政の概況,第２ 令和２年度市町村税課税状況等の調（国民健康保険税関係）（令和２年3月31日現在）,300004_010600_zeiseinogaikyou,2f87e033-698e-4c28-99ec-0480959e9558
414,32,和歌山県,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,01 和歌山市,300004_010600_kessansuii,1ce44b6f-e90f-4494-aead-b9adb2384092
415,32,和歌山県,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,03 橋本市,300004_010600_kessansuii,7ebfe47d-6741-4167-b779-1ae9b2a3fb0a
416,32,和歌山県,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,04 有田市,300004_010600_kessansuii,9123b51e-a05b-4bd9-87f7-2e47d69b36e2
417,32,和歌山県,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,06 田辺市,300004_010600_kessansuii,acf4546b-6a0a-4eb7-8f36-1a13af462692
418,32,和歌山県,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,07 新宮市,300004_010600_kessansuii,bc2f7ae8-0511-4939-b209-234953d658b6
419,32,和歌山県,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,08 紀の川市,300004_010600_kessansuii,e4ca9f97-a714-446c-9233-ce6a43a95ebe
420,32,和歌山県,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,10 紀美野町,300004_010600_kessansuii,6781a90c-f9ef-4603-b7f7-32a5c7124c14
421,32,和歌山県,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,11 かつらぎ町,300004_010600_kessansuii,52718be6-5ccf-46b6-b622-64e3f5c027c9
422,32,和歌山県,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,13 高野町,300004_010600_kessansuii,ebc7e678-1de7-4f4b-95fc-1c1f94873e69
423,32,和歌山県,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,14 湯浅町,300004_010600_kessansuii,4e0acb63-fe5b-4251-8c48-e2d8d1d22a5d
424,32,和歌山県,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,16 有田川町,300004_010600_kessansuii,cfa51e5d-ca3e-498c-a039-5d0292e0723a
425,32,和歌山県,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,18 日高町,300004_010600_kessansuii,9b0f402c-83ec-4a84-a843-551233ac826a
426,32,和歌山県,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,19 由良町,300004_010600_kessansuii,ac5bb79f-efe4-43a1-bbc0-2d6a50a8e273
427,32,和歌山県,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,20 印南町,300004_010600_kessansuii,14c78738-fecb-4dd9-874a-2028a6169e01
428,32,和歌山県,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,21 みなべ町,300004_010600_kessansuii,d70fb4b6-8ebe-4a42-a5bb-a9dfef9e85e4
429,32,和歌山県,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,22 日高川町,300004_010600_kessansuii,c1d54f06-9b86-40d2-bd2b-86871aba4248
430,32,和歌山県,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,23 白浜町,300004_010600_kessansuii,3f513802-b7ea-4086-95d5-53cea90c0478
431,32,和歌山県,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,24 上富田町,300004_010600_kessansuii,a7ea0755-f90f-4287-becc-6f05310c252d
432,32,和歌山県,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,25 すさみ町,300004_010600_kessansuii,5c531dab-8af7-4e22-b08f-830ae8269ea6
433,32,和歌山県,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,26 那智勝浦町,300004_010600_kessansuii,5645a842-e30c-49af-be1c-e72f6be74957
434,32,和歌山県,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,27 太地町,300004_010600_kessansuii,7c84cdb8-a073-49fc-9afc-705036ed6c7f
435,32,和歌山県,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,28 古座川町,300004_010600_kessansuii,215f1273-bade-4a37-9ed9-4c7d2aba6e26
436,32,和歌山県,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,29 北山村,300004_010600_kessansuii,f1d83130-7984-44e7-acc9-5b4c75f24d2e
437,32,和歌山県,【和歌山県】市町村歳入歳出決算額の推移（平成27年度～令和元年度）,30 串本町,300004_010600_kessansuii,b9c0d2e0-d7f4-4bc3-94e4-eec66beb0883
438,32,和歌山県,【和歌山県】令和３年度刊行　県民の友（お知らせ）一覧,令和3年度刊行県民の友（お知らせ）4月,300004_020400_kenmin_tomo_r3_news,44361eaa-0069-4400-aab9-43ae1787d6b8
439,32,和歌山県,【和歌山県】令和３年度刊行　県民の友（お知らせ）一覧,令和3年度刊行県民の友（お知らせ）7月,300004_020400_kenmin_tomo_r3_news,61b5f6dd-c249-433e-9c6a-6659f28628d5
440,32,和歌山県,【和歌山県】令和３年度刊行　県民の友（お知らせ）一覧,令和3年度刊行県民の友（お知らせ）１１月,300004_020400_kenmin_tomo_r3_news,04631ad9-fc78-4a1a-8f4c-075bdb735259
441,32,和歌山県,【和歌山県】令和３年度刊行　県民の友（お知らせ）一覧,令和3年度刊行県民の友（お知らせ）１月,300004_020400_kenmin_tomo_r3_news,caf0b5a6-d236-44c2-b1ca-0331ff809218
442,32,和歌山県,【和歌山県】令和３年度刊行　県民の友（催し）一覧,令和３年度刊行県民の友（催し）　6月,300004_020400_kenmin_tomo_r3_event,4fce4a3d-c066-4ea3-a88d-919f7c5fdb75
443,32,和歌山県,【和歌山県】令和２年度刊行　県民の友（お知らせ）一覧,令和2年度刊行県民の友（お知らせ）4月,300004_020400_kenmin_tomo_r2_news,e8e259e1-198a-4d78-81b6-f29c88cc8605
444,32,和歌山県,【和歌山県】令和２年度刊行　県民の友（お知らせ）一覧,令和2年度刊行県民の友（お知らせ）5月,300004_020400_kenmin_tomo_r2_news,b3493d2e-e3c1-47b9-bf0c-5c23d4301ef4
445,32,和歌山県,【和歌山県】令和２年度刊行　県民の友（お知らせ）一覧,令和2年度刊行県民の友（お知らせ）6月,300004_020400_kenmin_tomo_r2_news,876a5fdf-7786-4b3f-9c4f-75714c1964ca
446,32,和歌山県,【和歌山県】令和２年度刊行　県民の友（お知らせ）一覧,令和2年度刊行県民の友（お知らせ）7月,300004_020400_kenmin_tomo_r2_news,3548cdf3-827d-4dd2-ae68-1c733880b053
447,32,和歌山県,【和歌山県】令和２年度刊行　県民の友（お知らせ）一覧,令和2年度刊行県民の友（お知らせ）8月,300004_020400_kenmin_tomo_r2_news,50af8cc9-47c9-43bd-b2b2-d62c6406e08e
448,32,和歌山県,【和歌山県】令和２年度刊行　県民の友（お知らせ）一覧,令和2年度刊行県民の友（お知らせ）8月,300004_020400_kenmin_tomo_r2_news,023009eb-fe09-462e-8e6c-c467a531a0af
449,32,和歌山県,【和歌山県】令和２年度刊行　県民の友（お知らせ）一覧,令和2年度刊行県民の友（お知らせ）10月,300004_020400_kenmin_tomo_r2_news,17ab3ff9-06ff-4b8f-8920-18591fd5606b
450,32,和歌山県,【和歌山県】令和２年度刊行　県民の友（お知らせ）一覧,令和2年度刊行県民の友（お知らせ）12月,300004_020400_kenmin_tomo_r2_news,672e0721-44aa-460a-85ed-fe77770ab0ff
451,32,和歌山県,【和歌山県】令和２年度刊行　県民の友（お知らせ）一覧,令和2年度刊行県民の友（お知らせ）12月,300004_020400_kenmin_tomo_r2_news,b9de9482-a79c-4d10-bdc1-6a859307a1f9
452,32,和歌山県,【和歌山県】令和２年度刊行　県民の友（お知らせ）一覧,令和2年度刊行県民の友（お知らせ）2月,300004_020400_kenmin_tomo_r2_news,5cd2b100-25fc-449e-adbc-0a0436d0a635
453,32,和歌山県,【和歌山県】令和２年度刊行　県民の友（催し）一覧,令和２年度刊行県民の友（催し）　4月,300004_020400_kenmin_tomo_r2_event,950f972e-3d76-4443-bb34-d6af2d4ab379
454,32,和歌山県,【和歌山県】令和２年度刊行　県民の友（催し）一覧,令和２年度刊行県民の友（催し）　12月,300004_020400_kenmin_tomo_r2_event,b38ac2cf-3270-4124-b68f-e523c3524967
455,32,和歌山県,【和歌山県】令和２年度刊行　県民の友（催し）一覧,令和２年度刊行県民の友（催し）　12月,300004_020400_kenmin_tomo_r2_event,71165fc4-8d84-4682-8d96-84f07eba401d
456,32,和歌山県,【和歌山県】平成31年度刊行　県民の友（お知らせ）一覧,平成31年度刊行県民の友（お知らせ）4月,300004_020400_kenmin_tomo_h31_news,a032bb2f-4623-4957-ba9b-8c5135fbcbca
457,32,和歌山県,【和歌山県】平成31年度刊行　県民の友（お知らせ）一覧,平成31年度刊行県民の友（お知らせ）7月,300004_020400_kenmin_tomo_h31_news,fbf097cd-fa77-4f95-893d-7f95f965dad6
458,32,和歌山県,【和歌山県】平成31年度刊行　県民の友（お知らせ）一覧,平成31年度刊行県民の友（お知らせ）11月,300004_020400_kenmin_tomo_h31_news,f29f6f30-d49a-4f12-bf8d-2ba7d872ea8e
459,32,和歌山県,【和歌山県】平成31年度刊行　県民の友（お知らせ）一覧,平成31年度刊行県民の友（お知らせ）11月,300004_020400_kenmin_tomo_h31_news,9a14f65b-b67c-450f-9635-4f0fd0bd3823
460,32,和歌山県,【和歌山県】平成31年度刊行　県民の友（催し）一覧,平成31年度刊行県民の友（催し）　4月　,300004_020400_kenmin_tomo_h31_event,a4f84ea8-f0b9-4e9c-9157-8b981b2400d6
461,32,和歌山県,【和歌山県】平成31年度刊行　県民の友（催し）一覧,平成31年度刊行県民の友（催し）　4月　,300004_020400_kenmin_tomo_h31_event,cc28684f-1341-4c29-a2ad-7424f3698109
462,32,和歌山県,【和歌山県】平成31年度刊行　県民の友（催し）一覧,平成31年度刊行県民の友（催し）7月,300004_020400_kenmin_tomo_h31_event,de1e3eb1-0751-4cbf-aa7a-ddacf36c16f8
463,32,和歌山県,【和歌山県】平成31年度刊行　県民の友（催し）一覧,平成31年度刊行県民の友（催し）8月,300004_020400_kenmin_tomo_h31_event,c12b3299-353e-41bc-aa14-22bb59434450
464,32,和歌山県,【和歌山県】平成31年度刊行　県民の友（催し）一覧,平成31年度刊行県民の友（催し）8月,300004_020400_kenmin_tomo_h31_event,031def53-3dc3-4e7c-aac2-f79eec30a3ea
465,32,和歌山県,【和歌山県】平成31年度刊行　県民の友（催し）一覧,平成31年度刊行県民の友（催し）9月,300004_020400_kenmin_tomo_h31_event,d7ef92b3-30f6-4681-bd99-b6167e024c09
466,32,和歌山県,【和歌山県】平成31年度刊行　県民の友（催し）一覧,平成31年度刊行県民の友（催し）10月,300004_020400_kenmin_tomo_h31_event,dc826b34-6221-4692-8f0f-7786879c840a
467,32,和歌山県,【和歌山県】平成31年度刊行　県民の友（催し）一覧,平成31年度刊行県民の友（催し）10月,300004_020400_kenmin_tomo_h31_event,fc7bff8e-a044-48e1-9a96-69224cc4e454
